39501,LiquidambarStyraciflua,Copalme,Liquidambar,'Copalme d''Amérique'
39505,LiriodendronTulipifera,Tulipier,Liriodendron,Tulipier de Virginie
39905,LoniceraPericlymenum,Chèvrefeuille,Lonicera,Chèvrefeuille grimpant
39920,LoniceraXylosteum,Chèvrefeuille,Lonicera,Chèvrefeuille des haies
40664,MagnoliaGrandiflora,Magnolia,Magnolia,Magnolia à grandes fleurs
40755,MalusSylvestris,Pommier,Malus,Pommier sauvage
,MalusToringo,Pommier,Malus,Pommier Toringo
41665,MeliaAzedarach,Mélia,Melia,Mélia à chapelets
,MespilusGermanica,,,
42960,MorusAlba,Mûrier,Morus,Mûrier blanc
42973,MorusKagayamae,Mûrier,Morus,Mûrier platane
42976,MorusNigra,Mûrier,Morus,Mûrier noir
75257,NeriumOleander,Laurier-Rose,Nerium,Laurier-Rose commun
44593,OleaEuropaea,Olivier,Olea,'Olivier d''Europe'
47069,OstryaCarpinifolia,Ostryer,Ostrya,Ostryer Charme-Houblon
47370,PaliurusSpina-christi,Paliure,Paliurus,Paliure épine-du-Christ
123961,ParrotiaPersica,Parrotie,Parrotia,Parrotie de Perse
48115,PaulowniaTomentosa,Paulownia,Paulownia,Paulownia impérial
83469,PerseaAmericana,Avocatier,Persea,Avocatier commun
48852,PhillyreaAngustifolia,Filaire,Phillyrea,Filaire à feuilles étroites
48861,PhillyreaLatifolia,Filaire,Phillyrea,Filaire à feuilles larges
118977,PhotiniaSerrulata,Photinia,Photinia,Photinia de Chine
75288,PiceaAbies,Epicéa,Picea,Epicéa commun
49751,PistaciaLentiscus,Pistacier,Pistacia,Pistachier lentisque
75291,PistaciaTerebinthus,Pistacier,Pistacia,Pistachier térébinthe
120939,PittosporumTenuifolium,Pittospore,Pittosporum,Pittospore à feuilles étroites
49807,PittosporumTobira,Pittospore,Pittosporum,Pittospore de Chine
50147,PlatanusHispanica,Platane,Platanus,Platane commun
82353,PlatanusOccidentalis,Platane,Platanus,'Platane d''Amérique'
50152,PlatanusOrientalis,Platane,Platanus,'Platane d''Orient'
DOUBLON,PlatanusxHispanica,,,
51965,PopulusAlba,Peuplier,Populus,Peuplier blanc
52030,PopulusNigra,Peuplier,Populus,Peuplier noir
52056,PopulusTremula,Peuplier,Populus,Peuplier tremble
52060,PopulusTrichocarpa,Peuplier,Populus,Peuplier baumier
51988,PopulusxCanadensis,Peuplier,Populus,Peuplier hybride
53413,PrunusArmeniaca,Abricotier,Prunus,Abricotier commun
53417,PrunusAvium,Merisier/Cerisier,Prunus,Merisier commun/Cerisier commun
53436,PrunusBrigantina,Prunier,Prunus,Prunier de Briançon
53439,PrunusCerasifera,Prunier,Prunus,Prunier mirobolan
53446,PrunusCerasus,Cerisier,Prunus,Cerisier aigre
53498,PrunusDomestica,Prunier,Prunus,Prunier domestique
53514,PrunusDulcis,Amandier,Prunus,Amandier commun
53544,PrunusLaurocerasus,Laurière,Prunus,Laurier Palme
53552,PrunusMahaleb,Cerisier,Prunus,Cerisier de sainte-Lucie
53571,PrunusPadus,Padier,Prunus,'Padier d''Europe'
53578,PrunusPersica,Pêcher,Prunus,Pêcher cultivé
53647,PrunusSerotina,Padier,Prunus,Padier tardif
53648,PrunusSerrulata,Cerisier,Prunus,Cerisier du Japon
53652,PrunusSpinosa,Prunelier,Prunus,Prunelier commun
53838,PterocaryaFraxinifolia,Ptérocarier,Pterocarya,Ptérocarier à feuilles de frêne
54104,PunicaGranatum,Grenadier,Punica,Grenadier commun
54209,PyrusCalleryana,Poirier,Pyrus,Poirier de Chine
54239,PyrusCommunis,Poirier,Pyrus,Poirier commun
54298,PyrusNivalis,Poirier,Pyrus,Poirier des neiges
,PyrusPyraster,,,
54386,QuercusCerris,Chêne,Quercus,Chêne chevelu
54390,QuercusCoccifera,Chêne,Quercus,Chêne kermès
54442,QuercusIlex,Chêne,Quercus,Chêne vert
75771,QuercusPalustris,Chêne,Quercus,Chêne des marais
54524,QuercusPetraea,Chêne,Quercus,'Chêne sessile, Chêne rouvre'
54438,QuercusPubescens,Chêne,Quercus,Chêne pubescent
54540,QuercusPyrenaica,Chêne,Quercus,Chêne tauzin
75316,QuercusRobur,Chêne,Quercus,Chêne pédonculé
54564,QuercusRubra,Chêne,Quercus,'Chêne rouge d''Amérique'
54585,QuercusSuber,Chêne,Quercus,Chêne liège
55789,RhamnusAlaternus,Nerprun,Rhamnus,Nerprun alaterne
75325,RhamnusAlpina,Nerprun,Rhamnus,Nerprun des Alpes
55797,RhamnusCathartica,Nerprun,Rhamnus,Nerprun purgatif
56068,RhusCoriaria,Sumac,Rhus,Sumac des corroyeurs
56081,RhusTyphina,Sumac,Rhus,Sumac de Virginie
56110,RibesAlpinum,Groseillier,Ribes,Groseillier alpin
56136,RibesNigrum,Cassissier,Ribes,'Cassissier d''Europe'
75483,RibesRubrum,Groseillier,Ribes,Groseillier à grapes
